option,salient event,num_goal_hits,num_on_policy_goal_hits,num_executions,success_rate
global_option,,0,0,1781544,0.0
goal_option_1,RRT Salient Episode 5,536,535,2894,0.1848652384243262
goal_option_2,RRT Salient Episode 198,598,592,1536,0.3854166666666667
goal_option_3,RRT Salient Episode 398,157,149,254,0.5866141732283464
option_3_0,,270,264,752,0.35106382978723405
option_3_0_0,,410,403,702,0.5740740740740741
goal_option_4,RRT Salient Episode 442,361,357,591,0.6040609137055838
goal_option_5,RRT Salient Episode 473,272,264,565,0.4672566371681416
goal_option_6,RRT Salient Episode 514,774,767,1497,0.5123580494321978
goal_option_7,RRT Salient Episode 535,626,621,1044,0.5948275862068966
goal_option_8,RRT Salient Episode 536,308,301,659,0.456752655538695
goal_option_9,RRT Salient Episode 557,192,184,350,0.5257142857142857
option_7_0,,1063,1055,4854,0.21734651833539348
goal_option_10,RRT Salient Episode 758,909,902,1922,0.46930280957336107
goal_option_11,RRT Salient Episode 1509,477,469,1073,0.43709226467847156
