option,salient event,num_goal_hits,num_executions,success_rate
global_option,,0,2816690,0.0
goal_option_1,RRT Salient Episode 5,1033,1516,0.6813984168865436
goal_option_2,RRT Salient Episode 5,3,28,0.10714285714285714
goal_option_3,RRT Salient Episode 39,87,772,0.11269430051813471
goal_option_4,RRT Salient Episode 239,130,1742,0.07462686567164178
option_4_0,,538,5569,0.09660621296462561
option_4_0_0,,731,4527,0.16147559089905014
goal_option_5,RRT Salient Episode 372,482,1907,0.2527530152071316
option_3_0,,532,4544,0.11707746478873239
option_3_0_0,,667,4120,0.16189320388349515
option_5_0,,540,3601,0.14995834490419327
goal_option_6,RRT Salient Episode 451,5,111,0.04504504504504504
goal_option_7,RRT Salient Episode 661,7,538,0.013011152416356878
chain_8_backward_option,Start State Salient,382,12,31.833333333333332
chain_8_backward_option_0,,9,91,0.0989010989010989
chain_9_backward_option,Start State Salient,3,0,1.0
chain_10_backward_option,Start State Salient,257,985,0.2609137055837564
chain_10_backward_option_0,,303,175,1.7314285714285715
chain_10_backward_option_0_0,,65,22,2.9545454545454546
chain_10_backward_option_0_0_0,,166,959,0.17309697601668406
chain_11_backward_option,Start State Salient,342,847,0.4037780401416765
chain_11_backward_option_0,,282,46,6.130434782608695
chain_11_backward_option_0_0,,70,0,1.0
chain_11_backward_option_0_0_0,,114,532,0.21428571428571427
chain_12_backward_option,Start State Salient,200,1458,0.13717421124828533
chain_12_backward_option_0,,202,88,2.2954545454545454
chain_12_backward_option_0_0,,433,1234,0.35089141004862234
goal_option_13,RRT Salient Episode 891,112,727,0.15405777166437415
chain_12_backward_option_0_0_0,,240,594,0.40404040404040403
chain_10_backward_option_0_0_0_0,,336,1067,0.3149015932521087
chain_11_backward_option_0_0_0_0,,210,726,0.2892561983471074
option_13_0,,354,1568,0.22576530612244897
chain_14_backward_option,Start State Salient,15,829,0.018094089264173704
chain_14_backward_option_0,,9,0,1.0
chain_14_backward_option_0_0,,120,419,0.2863961813842482
goal_option_15,RRT Salient Episode 1128,5,124,0.04032258064516129
chain_10_backward_option_0_0_0_0_0,,337,1258,0.26788553259141495
chain_14_backward_option_0_0_0,,179,604,0.29635761589403975
goal_option_16,RRT Salient Episode 1418,22,147,0.14965986394557823
chain_8_backward_option_0_0,,124,412,0.30097087378640774
option_16_0,,44,402,0.10945273631840796
goal_option_17,RRT Salient Episode 1688,3,94,0.031914893617021274
option_16_0_0,,68,187,0.36363636363636365
option_16_0_0_0,,34,154,0.22077922077922077
chain_18_backward_option,Start State Salient,8,62,0.12903225806451613
chain_18_backward_option_0,,54,42,1.2857142857142858
